source,target
QseB,FlhDC
QseB,QseB
QseB,DnaA
Crp,CsgD
Crp,DksA
Crp,FlhDC
Crp,Fur
Crp,GadE
Crp,GadE-RcsB
Crp,GadX
Crp,OxyR
Crp,RpoE
Crp,RpoS
Crp,ZraR
Crp,RpoH
Crp,OmpR
Crp,NtrC
Crp,Fis
Crp,CytR
Crp,Crp
FliZ,CsgD
FliZ,FlhDC
FliZ,GadE
FliZ,GadE-RcsB
FliZ,MlrA
RpoH,Cra
RpoH,PhoP
RpoH,RpoD
RpoH,YdeO
SlyA,LeuO
SlyA,SlyA
AdiY,GadX
SdiA,GadW
GadX,GadE
GadX,GadE-RcsB
GadX,GadX
GadX,H-NS
GadX,RpoS
GadX,GadW
CytR,CytR
CytR,RpoH
FlhDC,FliA
FlhDC,FliZ
LrhA,FlhDC
LrhA,LeuO
LrhA,LrhA
Fur,FlhDC
Fur,Fnr
Fur,Fur
Fur,Nac
Fur,RpoS
Fur,SoxR
Fur,SoxS
LexA,LexA
LexA,RpoD
Lrp,Lrp
Lrp,StpA
Lrp,SoxS
Lrp,SlyA
Lrp,RpoN
Lrp,QseB
Lrp,Nac
Lrp,LeuO
Lrp,GadW
Lrp,FliA
Lrp,ArgR
Lrp,LrhA
AcrR,AcrR
AcrR,FlhDC
AcrR,SoxR
AcrR,SoxS
OmpR,BolA
OmpR,CsgD
OmpR,FlhDC
OmpR,AcrR
HdfR,FlhDC
OxyR,Fur
OxyR,OxyR
GadE,GadE
GadE,GadE-RcsB
GadE,GadW
GadE,GadX
GadE,Lrp
GadE,RcsAB
YjjQ,FlhDC
PhoB,ArgP
PhoB,Cra
PhoB,GadW
PhoB,GadX
PhoB,PhoB
DnaA,RpoH
DnaA,DnaA
CpxR,CpxR
CpxR,CsgD
CpxR,RpoE
CpxR,RpoH
RpoS,BolA
RpoS,CpxR
RpoS,CsgD
RpoS,EvgA
RpoS,GadE
RpoS,GadE-RcsB
RpoS,GadW
RpoS,GadX
RpoS,HdfR
RpoS,IHF
RpoS,MlrA
RpoS,OxyR
RpoS,RpoE
RpoS,RpoH
Fis,Crp
Fis,CspA
Fis,DnaA
Fis,Fis
Fis,GadX
Fis,NtrC
Fis,H-NS
RcsAB,CsgD
RcsAB,FlhDC
RcsAB,RcsAB
Nac,Nac
Nac,RcsAB
Nac,PhoB
Nac,OmpR
Nac,Lrp
Nac,LeuO
Nac,GadX
Nac,GadE
Nac,GadE-RcsB
Nac,EvgA
Nac,DnaA
Nac,SdiA
EvgA,EvgA
EvgA,GadE
EvgA,GadE-RcsB
EvgA,YdeO
StpA,LeuO
StpA,StpA
CsgD,CsgD
CsgD,FliA
CsgD,FliZ
RpoD,AcrR
RpoD,ArcA
RpoD,ArgR
RpoD,RcsB-BglJ
RpoD,BolA
RpoD,CpxR
RpoD,Crp
RpoD,CsgD
RpoD,CspA
RpoD,CytR
RpoD,DksA
RpoD,DnaA
RpoD,EvgA
RpoD,Fis
RpoD,FlhDC
RpoD,FliA
RpoD,FliZ
RpoD,Fnr
RpoD,Fur
RpoD,GadE
RpoD,GadE-RcsB
RpoD,GadX
RpoD,NtrC
RpoD,H-NS
RpoD,IHF
RpoD,LeuO
RpoD,LexA
RpoD,Lrp
RpoD,MlrA
RpoD,MqsA
RpoD,OmpR
RpoD,OxyR
RpoD,PhoB
RpoD,QseB
RpoD,RcsAB
RpoD,RcsB
RpoD,RpoD
RpoD,RpoE
RpoD,RpoH
RpoD,RpoN
RpoD,RpoS
RpoD,RutR
RpoD,SdiA
RpoD,SoxR
RpoD,SoxS
RpoD,StpA
RpoD,SutR
RpoD,TorR
RpoD,YdeO
RpoD,YjjQ
GadE-RcsB,GadX
SoxS,Fur
SoxS,SoxS
ArgP,ArgP
ArgP,DnaA
NtrC,Nac
NtrC,RpoE
NtrC,NtrC
CspA,H-NS
IHF,CsgD
IHF,Fis
IHF,FlhDC
IHF,FliA
IHF,FliZ
IHF,Fnr
IHF,IHF
IHF,OmpR
IHF,RpoE
IHF,RpoH
RpoN,FlhDC
RpoN,NtrC
RpoN,Nac
RpoN,RpoE
RpoN,RpoH
RpoN,ZraR
YdeO,GadE
YdeO,GadE-RcsB
YdeO,GadW
YdeO,YdeO
MlrA,CsgD
SutR,FliA
SutR,FliZ
SutR,SutR
PhoP,GadE
PhoP,GadE-RcsB
PhoP,GadW
PhoP,RstA
PhoP,YdeO
PhoP,PhoP
TorR,GadX
TorR,TorR
TorR,GadE
TorR,GadE-RcsB
TorR,RpoS
MqsA,CsgD
MqsA,MqsA
MqsA,RpoS
SoxR,SoxR
SoxR,SoxS
ArgR,ArgR
ArgR,StpA
ArgR,Lrp
RstA,CsgD
DksA,RpoD
DksA,IHF
DksA,DksA
DksA,Fis
DksA,RpoE
DksA,RpoS
RcsB,GadX
RcsB,RpoE
RcsB,YdeO
RpoE,EcpR
RpoE,RpoD
RpoE,RpoE
RpoE,RpoH
RpoE,RpoN
RpoE,RutR
Cra,Crp
Cra,CsgD
H-NS,AdiY
H-NS,RcsB-BglJ
H-NS,BolA
H-NS,CsgD
H-NS,CspA
H-NS,EvgA
H-NS,FlhDC
H-NS,FliA
H-NS,FliZ
H-NS,GadE
H-NS,GadE-RcsB
H-NS,GadW
H-NS,GadX
H-NS,HdfR
H-NS,H-NS
H-NS,LeuO
H-NS,Lrp
H-NS,RcsAB
H-NS,RcsB
H-NS,StpA
H-NS,YdeO
H-NS,YjjQ
RutR,GadW
RutR,GadX
RutR,RutR
GadW,GadE
GadW,GadE-RcsB
GadW,GadW
GadW,GadX
ArcA,Fnr
ArcA,GadE
ArcA,GadE-RcsB
ArcA,GadX
ArcA,RpoS
LeuO,RcsB-BglJ
LeuO,YjjQ
LeuO,LeuO
Fnr,Fnr
Fnr,GadW
Fnr,GadX
Fnr,Nac
Fnr,SoxR
Fnr,SoxS
Fnr,ArcA
EcpR,FlhDC
EcpR,FliA
EcpR,FliZ
EcpR,EcpR
RcsB-BglJ,LeuO
ZraR,ZraR
ZraR,GadW
ZraR,RpoH
ZraR,FliA
BolA,CsgD
FliA,FliA
FliA,FliZ
