"ID","Term Name","parent","parentTerm","Category","Count","GeneRatio","Bnb","DMenv","DMevo","DMmut"
"GO:0055085","transmembrane transport","GO:0055085","transmembrane transport","BP",361,"361/2622","b0010,b0040,b0046,b0047,b0066,b0067,b0068,b0069,b0106,b0112,b0128,b0129,b0153,b0155,b0198,b0199,b0328,b0336,b0367,b0396,b0401,b0402,b0408,b0409,b0411,b0427,b0429,b0430,b0431,b0432,b0433,b0442,b0445,b0449,b0451,b0462,b0463,b0465,b0478,b0484,b0486,b0513,b0576,b0584,b0589,b0591,b0598,b0624,b0627,b0653,b0654,b0655,b0679,b0696,b0697,b0709,b0738,b0752,b0760,b0762,b0764,b0792,b0793,b0794,b0805,b0809,b0810,b0811,b0813,b0818,b0829,b0830,b0831,b0832,b0842,b0845,b0847,b0855,b0857,b0860,b0862,b0863,b0874,b0875,b0879,b0886,b0887,b0898,b0914,b0933,b0936,b0957,b0960,b1015,b1037,b1053,b1102,b1117,b1124,b1125,b1126,b1186,b1198,b1216,b1243,b1244,b1245,b1252,b1256,b1293,b1294,b1329,b1342,b1451,b1453,b1534,b1599,b1600,b1644,b1657,b1663,b1709,b1729,b1736,b1738,b1755,b1791,b1798,b1817,b1818,b1819,b1821,b1828,b1831,b1858,b1859,b1889,b1890,b1900,b1901,b1907,b1917,b1918,b1920,b1985,b2008,b2014,b2075,b2076,b2077,b2093,b2095,b2106,b2130,b2148,b2149,b2150,b2155,b2156,b2167,b2169,b2177,b2178,b2179,b2180,b2182,b2201,b2211,b2215,b2240,b4544,b2258,b2276,b2277,b2278,b2287,b2292,b2298,b2306,b2307,b2308,b2322,b2389,b2392,b2393,b2410,b2413,b2415,b2416,b2417,b2422,b2423,b2424,b2429,b2470,b2493,b2497,b2536,b2546,b2578,b2663,b2670,b2678,b2679,b2682,b2683,b2685,b2686,b2703,b2704,b2706,b2707,b2775,b2789,b2796,b2825,b2835,b2841,b2923,b2924,b2933,b2943,b2964,b2968,b3005,b3006,b3009,b3040,b3078,b3089,b3093,b3116,b3132,b3133,b3161,b3175,b3196,b3201,b3204,b3206,b3224,b3240,b3241,b3258,b3266,b3290,b3291,b3300,b3350,b3351,b3358,b3364,b3367,b3415,b4476,b3450,b3451,b3452,b3453,b3454,b3455,b3456,b3457,b3463,b3469,b3471,b3473,b3474,b3476,b3477,b3478,b3479,b3480,b3486,b3496,b3514,b3523,b3528,b3539,b3540,b3541,b3542,b3543,b3544,b3547,b3566,b3567,b3568,b3597,b3599,b3603,b3609,b3653,b3654,b3662,b3666,b3667,b3685,b3710,b3714,b3724,b3725,b3726,b3727,b3728,b3734,b3737,b3746,b3747,b3749,b3750,b3751,b3754,b3795,b3816,b3823,b3824,b3836,b3838,b3839,b3849,b3907,b3909,b3915,b3917,b3927,b3943,b3947,b3949,b3950,b3953,b3962,b3981,b4020,b4032,b4033,b4034,b4035,b4044,b4065,b4067,b4077,b4111,b4115,b4123,b4130,b4138,b4141,b4148,b4156,b4159,b4193,b4194,b4195,b4208,b4227,b4230,b4231,b4242,b4261,b4262",0.262811852413013,0.115591288873111,0.166956500804551
"GO:0006355","regulation of DNA-templated transcription","GO:0006355","regulation of DNA-templated transcription","BP",201,"201/2622","b0014,b0020,b0034,b0059,b0064,b0069,b0076,b0080,b0081,b0101,b0113,b0162,b0176,b0208,b0313,b0315,b0357,b0382,b0399,b0400,b0413,b0416,b0464,b0476,b0487,b0506,b0603,b0610,b0619,b0620,b0683,b0685,b0687,b0694,b0761,b0796,b0817,b0840,b0846,b0880,b0889,b0912,b0956,b0959,b0990,b0994,b0995,b1013,b1040,b1071,b1111,b1130,b1183,b1187,b1201,b1221,b1235,b1237,b1284,b1303,b1304,b1305,b1323,b1334,b1341,b1434,b1439,b1530,b1531,b1618,b1622,b1625,b1642,b1649,b1712,b1735,b1827,b1864,b1892,b1914,b1916,b1922,b1951,b1969,b1976,b1987,b1988,b2015,b2079,b2105,b2125,b2151,b2156,b2157,b2163,b2193,b2213,b2217,b2369,b2381,b2382,b2399,b2409,b2415,b2437,b2479,b2531,b2535,b2561,b2572,b2573,b2577,b2664,b2667,b2684,b2697,b2706,b2707,b2709,b2731,b2741,b2768,b2805,b2808,b2837,b2869,b2916,b3010,b3023,b3025,b3067,b3071,b3075,b3094,b3105,b3131,b3169,b3181,b3202,b3210,b3226,b3229,b3237,b3243,b3261,b3289,b3292,b3319,b3357,b3405,b3406,b3438,b3461,b3481,b3516,b3521,b3569,b3601,b3604,b3641,b3711,b3743,b3755,b4480,b3773,b3828,b3842,b3868,b3869,b3905,b3912,b3934,b3938,b3954,b3961,b3963,b3973,b3982,b3995,b4018,b4043,b4046,b4062,b4063,b4113,b4116,b4118,b4124,b4125,b4135,b4172,b4178,b4187,b4191,b4241,b4324,b4357,b4393,b4396,b4398,b4401",0.0269921131001496,0.0553024012529701,0.0473211585599063
"GO:0006974","cellular response to DNA damage stimulus","GO:0006974","cellular response to DNA damage stimulus","BP",187,"187/2622","b0030,b0050,b0060,b0099,b0145,b0183,b0231,b0234,b0397,b0398,b0424,b0426,b0442,b0454,b0473,b0506,b0591,b0592,b0679,b0685,b0708,b0714,b0760,b0779,b0792,b0802,b0804,b0830,b0852,b0876,b0877,b0892,b0902,b0916,b0949,b0957,b0958,b0962,b1008,b1019,b1035,b1050,b1061,b1080,b1104,b1131,b1183,b1197,b1198,b1200,b1284,b1335,b1633,b1652,b1664,b1724,b1728,b1732,b1740,b1741,b1749,b1759,b1780,b1808,b1831,b1844,b1848,b1860,b1861,b1863,b1896,b1930,b1960,b1967,b1968,b1993,b2009,b2011,b2024,b2068,b2080,b2107,b2135,b2148,b2149,b2184,b2212,b2213,b2215,b2266,b2290,b2294,b2411,b2500,b2506,b2544,b2565,b2580,b2616,b2663,b2698,b2699,b2733,b2819,b2820,b2831,b2889,b2892,b2922,b2949,b2961,b2971,b3001,b3050,b3068,b3071,b3080,b3153,b3155,b3191,b3222,b3385,b3387,b3399,b3408,b3429,b3431,b3432,b3433,b3438,b3480,b3503,b3516,b3526,b3528,b3549,b3562,b3588,b3597,b3603,b3604,b3635,b3647,b3652,b3688,b3700,b3701,b3726,b3728,b3744,b3813,b3822,b3831,b3863,b3892,b3926,b3935,b3959,b3961,b3990,b3998,b4000,b4005,b4033,b4034,b4043,b4058,b4059,b4144,b4149,b4154,b4170,b4177,b4187,b4189,b4213,b4239,b4322,b4335,b4352,b4353,b4377,b4381,b4382,b4383,b4384,b4389",0.183353428663046,0.09546879729194,0.117695203319192
"GO:0016310","phosphorylation","GO:0016310","phosphorylation","BP",144,"144/2622","b0002,b0003,b0025,b0063,b0103,b0114,b0115,b0116,b0129,b0142,b0171,b0242,b0323,b0388,b0394,b0400,b0417,b0474,b0514,b0521,b0570,b0607,b0619,b0679,b0729,b0755,b0758,b0910,b0993,b1106,b1119,b1129,b1198,b1199,b1200,b1208,b1238,b1609,b1636,b1640,b1702,b1703,b1738,b1779,b1783,b1817,b1849,b1887,b1888,b1968,b1993,b2066,b2078,b2086,b2097,b2100,b2103,b2104,b2126,b2167,b2168,b2169,b2216,b2296,b2380,b2388,b2415,b2416,b2417,b2418,b2429,b2469,b2498,b2501,b2518,b2555,b2556,b2566,b2615,b2703,b2704,b2750,b2776,b2779,b2784,b2786,b2803,b2874,b2925,b2926,b2928,b2933,b3026,b3052,b3096,b3115,b3124,b3133,b3176,b3204,b3206,b3210,b3222,b3236,b3355,b3404,b3437,b3526,b3564,b3599,b3612,b3630,b3648,b3650,b3785,b3835,b3848,b3859,b3869,b3904,b3911,b3916,b3919,b3926,b3940,b3947,b3950,b3953,b3959,b3974,b4003,b4024,b4025,b4042,b4112,b4125,b4168,b4173,b4194,b4195,b4355,b4390,b4395,b4399",0.116195028768935,0.110195338256801,0.0957679331767806
"GO:0006351","DNA-templated transcription","GO:0006351","DNA-templated transcription","BP",220,"220/2622","b0014,b0020,b0034,b0059,b0064,b0069,b0076,b0080,b0081,b0101,b0113,b0162,b0176,b0189,b0208,b0313,b0315,b0357,b0378,b0382,b0399,b0400,b0413,b0416,b0435,b0440,b0464,b0476,b0487,b0506,b0603,b0610,b0619,b0620,b0659,b0683,b0685,b0687,b0694,b0761,b0796,b0817,b0840,b0846,b0880,b0889,b0912,b0956,b0959,b0990,b0994,b0995,b1013,b1040,b1071,b1111,b1130,b1183,b1187,b1201,b1221,b1235,b1237,b1284,b1303,b1304,b1305,b1323,b1334,b1341,b1434,b1439,b1530,b1531,b1618,b1622,b1625,b1642,b1649,b1712,b1735,b1827,b1864,b1892,b1914,b1916,b1922,b1951,b1969,b1976,b1987,b1988,b2015,b2079,b2105,b2125,b2151,b2156,b2157,b2163,b2193,b2213,b2217,b2231,b2369,b2381,b2382,b2399,b2409,b2415,b2437,b2479,b2531,b2533,b2535,b2561,b2572,b2573,b2576,b2577,b2664,b2667,b2684,b2697,b2706,b2707,b2709,b2731,b2741,b2768,b2805,b2808,b2837,b2869,b2916,b2949,b3010,b3023,b3025,b3067,b3071,b3075,b3094,b3105,b3131,b3169,b3181,b3202,b3210,b3226,b3229,b3237,b3243,b3261,b3289,b3292,b3295,b3296,b3319,b3321,b3357,b3405,b3406,b3438,b3461,b3481,b3516,b3521,b3569,b3601,b3604,b3641,b3649,b3699,b3711,b3743,b3755,b4480,b3773,b3783,b3828,b3842,b3868,b3869,b3905,b3912,b3934,b3938,b3954,b3961,b3963,b3973,b3982,b3987,b3988,b3995,b4000,b4018,b4043,b4046,b4062,b4063,b4113,b4116,b4118,b4124,b4125,b4135,b4172,b4178,b4187,b4191,b4241,b4260,b4324,b4357,b4393,b4396,b4398,b4401",0.0180280508050865,0.0512726313900728,0.0368069427366474
"GO:0005975","carbohydrate metabolic process","GO:0005975","carbohydrate metabolic process","BP",235,"235/2622","b0008,b0061,b0062,b0063,b0064,b0090,b0096,b0114,b0115,b0116,b0118,b0124,b0130,b0179,b0180,b0181,b0182,b0200,b0207,b0222,b0239,b0385,b0394,b0403,b0524,b0675,b0677,b0678,b0713,b0755,b0756,b0758,b0759,b0767,b0806,b0815,b0825,b0902,b0903,b0918,b0980,b1002,b1048,b1094,b1107,b1119,b1136,b1197,b1198,b1199,b1200,b1201,b1215,b1236,b1279,b1280,b1424,b1542,b1613,b1640,b1702,b1727,b1733,b1734,b1779,b1780,b1814,b1850,b1851,b1852,b1855,b1856,b1896,b1897,b1927,b2028,b2029,b2042,b2091,b2093,b2095,b2096,b2097,b2132,b2168,b2172,b2174,b2175,b2239,b2240,b2241,b2242,b2253,b2254,b2255,b2256,b4544,b2258,b2293,b2376,b2378,b2388,b2415,b2417,b2428,b2533,b2544,b2571,b2696,b2705,b2708,b2768,b2776,b2779,b2789,b2797,b2799,b2800,b2803,b2805,b2837,b2842,b2843,b2901,b2914,b2925,b2926,b2927,b2996,b3012,b3049,b3052,b3076,b3080,b3091,b3092,b4471,b3114,b3124,b3125,b3126,b3128,b3132,b3176,b3197,b3198,b3222,b3223,b3225,b3236,b3355,b3385,b3386,b3403,b3415,b3416,b3417,b3425,b3426,b3429,b3430,b3431,b3432,b4476,b3437,b3438,b3449,b3519,b3526,b3546,b3553,b3564,b3565,b3566,b3567,b3568,b3571,b3600,b3605,b3608,b3612,b3614,b3619,b3620,b3621,b3630,b3631,b3656,b3729,b3730,b3748,b3784,b3785,b3786,b3787,b3788,b3789,b3790,b3791,b3792,b3793,b3794,b3901,b3902,b3903,b3904,b3905,b3916,b3919,b3925,b3926,b3945,b3946,b3952,b3956,b4014,b4015,b4018,b4025,b4027,b4028,b4029,b4119,b4192,b4196,b4197,b4198,b4214,b4232,b4239,b4241,b4323,b4357,b4381,b4395",0.13728906322802,0.16307007945452,0.13990006685491
"GO:0006508","proteolysis","GO:0006508","proteolysis","BP",95,"95/2622","b0027,b0084,b0120,b0131,b0149,b0168,b0176,b0227,b0237,b0376,b0437,b0438,b0439,b0494,b0632,b0635,b0659,b0819,b0828,b0839,b0881,b0882,b0909,b0926,b0932,b0955,b0970,b0975,b1071,b1183,b1192,b1204,b1235,b1272,b1326,b1538,b1678,b1708,b1766,b1807,b1829,b1830,b1845,b1856,b1976,b1990,b2010,b2081,b2134,b2175,b2209,b2328,b2384,b2385,b2494,b2519,b2520,b2523,b2568,b2717,b2742,b2753,b2821,b2872,b2908,b2936,b2972,b2993,b3178,b3182,b3234,b3235,b3244,b3424,b3447,b3459,b3498,b3527,b3613,b3638,b3765,b3847,b4484,b3931,b3932,b4021,b4043,b4160,b4175,b4188,b4190,b4206,b4235,b4260,b4328",-0.0168610854162675,0.00420169517335943,-0.0330980470863991
"GO:0009401","phosphoenolpyruvate-dependent sugar phosphotransferase system","GO:0009401","phosphoenolpyruvate-dependent sugar phosphotransferase system","BP",33,"33/2622","b0129,b0679,b1198,b1736,b1738,b1817,b1818,b1819,b2093,b2095,b2167,b2169,b2415,b2416,b2417,b2429,b2703,b2704,b2706,b2707,b2933,b3132,b3133,b3204,b3206,b3599,b3947,b3949,b3950,b3953,b4193,b4194,b4195",0.247416590531375,0.322935385028947,0.0660127749190369
"GO:0046677","response to antibiotic","GO:0046677","response to antibiotic","BP",68,"68/2622","b0026,b0048,b0149,b0179,b0462,b0463,b0591,b0635,b0739,b0740,b0762,b0795,b0842,b0879,b1018,b1045,b1053,b1530,b1531,b1663,b1719,b1791,b1830,b2182,b2211,b2217,b2231,b2253,b2254,b2255,b2256,b2259,b2290,b2381,b2435,b2470,b2517,b2519,b2521,b2617,b2666,b2684,b2685,b2686,b2963,b3030,b3057,b3182,b3191,b3296,b3303,b3305,b3311,b3315,b3319,b3342,b3463,b3514,b3636,b3699,b3710,b3724,b3935,b3987,b3988,b4113,b4150,b4394",-0.0229336947496037,0.00398363939772081,0.0168476534358677
"GO:0006310","DNA recombination","GO:0006310","DNA recombination","BP",34,"34/2622","b0132,b0393,b0397,b0398,b0892,b0912,b0962,b1712,b1763,b1860,b1861,b1863,b2565,b2616,b2699,b2733,b2819,b2820,b2831,b2892,b2894,b3237,b3261,b3461,b3652,b3811,b3813,b3822,b3832,b3935,b4059,b4170,b4260,b4389",-0.158068110145213,-0.0857450552359388,-0.0961958050104102
"GO:0006412","translation","GO:0006412","translation","BP",118,"118/2622","b0023,b0026,b0097,b0118,b0144,b0169,b0170,b0172,b0191,b0194,b0481,b0526,b0528,b0637,b0659,b0852,b0893,b0911,b0912,b0930,b0953,b1089,b1204,b1212,b1237,b1282,b1712,b1716,b1717,b1718,b1719,b1787,b2171,b2184,b2185,b2316,b2400,b2514,b2569,b2597,b2606,b2609,b2619,b2620,b2696,b2697,b2827,b3065,b3162,b3165,b3168,b3170,b3185,b3186,b3203,b3230,b3231,b3287,b3288,b4550,b3294,b3296,b3297,b3298,b3299,b3301,b3302,b3303,b3304,b3305,b3306,b3307,b3308,b3309,b3310,b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321,b3340,b3341,b3342,b3384,b3407,b3486,b3559,b3560,b3590,b3591,b3636,b3637,b3687,b3703,b3842,b3848,b3936,b3983,b3984,b3985,b3986,b4147,b4155,b4171,b4172,b4173,b4200,b4202,b4203,b4258,b4375,b4391",-0.0342994570972677,0.00288772483829676,-0.00222774424160087
"GO:0051301","cell division","GO:0051301","cell division","BP",82,"82/2622","b0065,b0083,b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0093,b0094,b0095,b0102,b0174,b0211,b0436,b0438,b0473,b0632,b0633,b0634,b0737,b0738,b0739,b0740,b0742,b0923,b0924,b0956,b0958,b1107,b1174,b1175,b1176,b1193,b1254,b1280,b1731,b1856,b1916,b2134,b2136,b2184,b2314,b2412,b2435,b2472,b2516,b2519,b2549,b2742,b2748,b2777,b2817,b2894,b2910,b2963,b3009,b3017,b3163,b3182,b3189,b3232,b3247,b3251,b3361,b3388,b3462,b3463,b3613,b3641,b3742,b3811,b3865,b3933,b3972,b4142,b4143,b4169,b4206,b4233",-0.123245783811581,-0.070883790555035,-0.0509945244670587
"GO:0008652","cellular amino acid biosynthetic process","GO:0008652","cellular amino acid biosynthetic process","BP",111,"111/2622","b0002,b0003,b0004,b0031,b0032,b0048,b0071,b0072,b0073,b0074,b0077,b0078,b0131,b0159,b0166,b0242,b0243,b0386,b0388,b0507,b0529,b0674,b0754,b0800,b0849,b0870,b0893,b0907,b0908,b1096,b1190,b1260,b1261,b1263,b1524,b1622,b1693,b1761,b1812,b1987,b2019,b2020,b2022,b2024,b2025,b2026,b2290,b2319,b2329,b2379,b2413,b2414,b2421,b2472,b2478,b2551,b2599,b2600,b2601,b2662,b2687,b2764,b2818,b2838,b2870,b2913,b3008,b3117,b3172,b3212,b3213,b3237,b3281,b3359,b3360,b3389,b3433,b3447,b3475,b3572,b3591,b3607,b3616,b3670,b3671,b3712,b3744,b3769,b3770,b3771,b3773,b3774,b3809,b3828,b3829,b3870,b3938,b3939,b3940,b3941,b3957,b3958,b3959,b3960,b4013,b4019,b4024,b4053,b4054,b4243,b4388",0.489398258754494,0.0138424274097231,0.176171384332924
"GO:0000160","phosphorelay signal transduction system","GO:0000160","phosphorelay signal transduction system","BP",58,"58/2622","b0196,b0399,b0400,b0570,b0619,b0620,b0694,b0993,b0995,b1129,b1130,b1221,b1235,b1303,b1323,b1609,b1882,b1883,b1888,b1914,b1968,b1969,b2078,b2079,b2125,b2126,b2193,b2216,b2217,b2340,b2369,b2380,b2381,b2469,b2555,b2556,b2709,b2731,b2786,b3025,b3026,b3210,b3398,b3404,b3405,b3667,b3868,b3869,b3911,b3912,b4003,b4112,b4113,b4124,b4125,b4398,b4399,b4401",-0.0840555500042921,0.0103957914141315,0.000609926158333137
"GO:0009061","anaerobic respiration","GO:0009061","anaerobic respiration","BP",41,"41/2622","b0156,b0723,b0896,b0974,b0993,b0994,b0996,b0997,b1227,b1334,b1590,b1873,b2202,b2203,b2206,b2241,b2242,b2994,b2995,b2996,b2997,b3236,b3365,b3366,b3426,b3518,b3551,b3605,b3892,b3893,b4070,b4071,b4072,b4073,b4123,b4138,b4151,b4152,b4153,b4154,b4380",0.439173731976979,0.534789194207389,0.450440743194196
"GO:0009252","peptidoglycan biosynthetic process","GO:0009252","peptidoglycan biosynthetic process","BP",39,"39/2622","b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0149,b0174,b0381,b0632,b0634,b0635,b0819,b0839,b1097,b1105,b1107,b1192,b1278,b1678,b1782,b1990,b2010,b2134,b2328,b2519,b3057,b3147,b3176,b3182,b3189,b3208,b3730,b3967,b3972,b4233",-0.128664653252986,-0.0886101174128488,-0.0859335230790615
"GO:0071555","cell wall organization","GO:0071555","cell wall organization","BP",58,"58/2622","b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0110,b0149,b0174,b0211,b0376,b0381,b0433,b0632,b0633,b0634,b0635,b0772,b0819,b0839,b0867,b0920,b1081,b1097,b1107,b1192,b1193,b1325,b1326,b1678,b1856,b1990,b2010,b2126,b2134,b2175,b2380,b2435,b2519,b2558,b2701,b2817,b2963,b3032,b3057,b3182,b3189,b3208,b3730,b3784,b3967,b3972,b4169,b4233,b4392",-0.0874546332776144,-0.0420288622976384,-0.0780270354186053
"GO:0009103","lipopolysaccharide biosynthetic process","GO:0009103","lipopolysaccharide biosynthetic process","BP",32,"32/2622","b0200,b0222,b0815,b0918,b1215,b1236,b1855,b2028,b2042,b2174,b2253,b2254,b2255,b2256,b4544,b2258,b2378,b2708,b3052,b3197,b3198,b3546,b3619,b3620,b3621,b3630,b3631,b3730,b3784,b3785,b3788,b3789",0.00755071376799495,0.118307796951848,-0.0108142099853848
"GO:0006629","lipid metabolic process","GO:0006629","lipid metabolic process","BP",131,"131/2622","b0029,b0039,b0042,b0090,b0096,b0118,b0173,b0174,b0175,b0179,b0180,b0181,b0182,b0185,b0200,b0221,b0222,b0404,b0418,b0419,b0420,b0421,b0443,b0452,b0493,b0494,b0524,b0628,b0630,b0686,b0736,b0789,b0815,b0918,b0954,b1046,b1090,b1091,b1092,b1093,b1094,b1095,b1187,b1208,b1215,b1234,b1236,b1249,b1253,b1278,b1279,b1280,b1539,b1619,b1758,b1805,b1855,b1912,b2028,b2042,b2086,b2174,b2239,b2253,b2254,b2255,b2256,b4544,b2258,b2296,b2316,b2323,b2341,b2342,b2378,b2515,b2533,b2553,b2560,b2563,b2585,b2708,b2746,b2747,b2835,b2836,b2844,b2889,b3018,b3052,b3059,b3081,b4471,b3113,b3114,b3115,b3117,b3187,b3197,b3198,b3209,b3255,b3256,b3353,b3449,b3475,b3546,b3608,b3619,b3620,b3621,b3630,b3631,b3730,b3784,b3785,b3788,b3789,b3821,b3825,b3845,b3846,b3888,b3918,b3963,b4042,b4149,b4160,b4214,b4269,b4377",0.0147517845732143,0.0603043122411986,0.0483704843362184
"GO:0008360","regulation of cell shape","GO:0008360","regulation of cell shape","BP",41,"41/2622","b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0149,b0174,b0376,b0381,b0632,b0634,b0635,b0780,b0819,b0839,b1105,b1107,b1192,b1678,b1990,b2010,b2134,b2516,b2519,b2896,b3057,b3147,b3182,b3189,b3208,b3249,b3250,b3251,b3730,b3967,b3972,b4233",-0.118631481483762,-0.0772806683914015,-0.0928102754819933
"GO:0009408","response to heat","GO:0009408","response to heat","BP",52,"52/2622","b0014,b0212,b0424,b0436,b0437,b0439,b0473,b0631,b0659,b0781,b0797,b0881,b0882,b0931,b0935,b0966,b0968,b1132,b1185,b1243,b1304,b1379,b1530,b1833,b2327,b2584,b2592,b2614,b2922,b2936,b3034,b3067,b3153,b3164,b3349,b3400,b3401,b3461,b3686,b3687,b3724,b3871,b3887,b3908,b3931,b3932,b4142,b4143,b4171,b4173,b4174,b4175",0.0671043339109213,0.0364167511645253,0.0611961593412017
"GO:0032259","methylation","GO:0032259","methylation","BP",51,"51/2622","b0082,b0195,b0636,b0661,b0807,b0921,b0948,b0967,b1212,b1335,b1519,b1835,b1884,b1961,b2213,b2232,b2330,b2517,b2532,b2575,b2581,b2607,b2743,b2785,b2806,b2827,b2946,b2960,b3084,b3146,b3179,b3259,b3262,b3289,b3368,b3387,b3465,b3497,b3499,b3606,b3651,b3706,b3740,b3741,b3829,b3833,b3965,b4019,b4180,b4371,b4403",0.00170418862073488,0.0537922984459608,0.0713282106001236
"GO:0006260","DNA replication","GO:0006260","DNA replication","BP",56,"56/2622","b0014,b0060,b0099,b0183,b0184,b0214,b0231,b0397,b0398,b0467,b0640,b0687,b0880,b0892,b0923,b0924,b1099,b1652,b1763,b1842,b1844,b1863,b2009,b2011,b2231,b2234,b2235,b2411,b2496,b2675,b2676,b2798,b2916,b3066,b3149,b3387,b3498,b3647,b3699,b3700,b3701,b3702,b3781,b3813,b3822,b3863,b3935,b4043,b4052,b4059,b4201,b4238,b4259,b4361,b4362,b4372",-0.0224022234279056,-0.0479642010196516,-0.001261962189257
